,SerialNumberContract,Qty,ContractNumber,SerialNumber,is_serialnum
1560,"CT issue
PDU 44


site
Wells Fargo
101 Leaf Lake 
Birmingham AL",0,5004p00000Dv4CWAAZ,CT issue PDU 44 site Wells Fargo 101 Leaf Lake Birmingham AL ,True
1561,"SAS TX alarm on two STS

STS-A6A
411-0112-1

STS-B5A
411-0112-22

site
Ascent
Suite 400
505 N Railroad
Northlake, IL",0,50046000007DrBVAA0,"SAS TX alarm on two STS STS-A6A 411-0112-1 STS-B5A 411-0112-22 site Ascent Suite 400 505 N Railroad Northlake, IL ",True
1562,Two PDU's have the same MAC address and it is causing a conflict on the network. PDU2-A6 located inside DH 401.,0,50046000006aaD4AAI,Two PDU's have the same MAC address and it is causing a conflict on the network. PDU2-A6 located inside DH 401. ,True
1563,"Main fams high alarm 
PDU 48
451-0026

site
Wells Fargo
101 Leaf Lake 
Birmingham, AL",0,50046000007OOH7AAO,"Main fams high alarm PDU 48 451-0026 site Wells Fargo 101 Leaf Lake Birmingham, AL ",True
1564,CT strips are inverted,0,50046000007OLSHAA4,CT strips are inverted ,True
1565,"Installation of SAS board and brackets to clear SAS tx alarms
411-0199


site
Intel
1300 S Mopac Expressway
Austin, TX  78746",0,5004p00000DgmvZAAR,"Installation of SAS board and brackets to clear SAS tx alarms 411-0199 site Intel 1300 S Mopac Expressway Austin, TX 78746 ",True
1566,Supplier Recall for Bussman Fuses,0,50046000003mtH3AAI,Supplier Recall for Bussman Fuses ,True
1567,"Upgrade 1 PDU with 4 additional subfeed breakers
Upgrade Includes:
4 ñ CKB10158, Wire, Lugs & Bezels

SN: 110-4351",0,5004p00000DwEkjAAF,"Upgrade 1 PDU with 4 additional subfeed breakers Upgrade Includes: 4 ñ CKB10158, Wire, Lugs & Bezels SN: 110-4351 ",True
1568,"1. We are receiving large real power values from a BCMS+ board in one of our PDUs (PDU-13A P1 and P2). I donít believe this is a hardware issue. For now, Iíd prefer we set up a service call specific to this issue to investigate the settings or software version installed on the board, as the board seems to be communicating normally, producing some valid values, but the erroneous values we are seeing seem consistent with a previous issue related to an incorrect setting or software version installed.
2. We need to investigate the following erroneous values we are also receiving from the board. We are actually receiving this bogus value from every BCMS+ and panel in the facility:
Total Over Current Alarm threshold which is showing the 6553.5 value is on all devices and is Modbus register 40366.
Over Current Alarm threshold which is showing the 6553.5 value is on all devices and is Modbus register 40360.",0,5004p00000Ddr5IAAR,"1. We are receiving large real power values from a BCMS+ board in one of our PDUs (PDU-13A P1 and P2). I donít believe this is a hardware issue. For now, Iíd prefer we set up a service call specific to this issue to investigate the settings or software version installed on the board, as the board seems to be communicating normally, producing some valid values, but the erroneous values we are seeing seem consistent with a previous issue related to an incorrect setting or software version installed. 2. We need to investigate the following erroneous values we are also receiving from the board. We are actually receiving this bogus value from every BCMS+ and panel in the facility: Total Over Current Alarm threshold which is showing the 6553.5 value is on all devices and is Modbus register 40366. Over Current Alarm threshold which is showing the 6553.5 value is on all devices and is Modbus register 40360. ",True
1569,"Upgrade 17 STS' with new SAS & Monitors to allow for HRG in the customers units. 

SN:
SNs:
442-0022
442-0035
442-0032
411-0085",0,50046000001FgLgAAK,Upgrade 17 STS' with new SAS & Monitors to allow for HRG in the customers units. SN: SNs: 442-0022 442-0035 442-0032 411-0085 ,True
1570,"The site turned off the equipment.  When it was brought back up, the BMS systems could not communicate to the units.  Need to troubleshoot

site
Stream
9550 Westover Hills Blvd
San Antonio, TX",0,5004p00000DPSKNAA5,"The site turned off the equipment. When it was brought back up, the BMS systems could not communicate to the units. Need to troubleshoot site Stream 9550 Westover Hills Blvd San Antonio, TX ",True
1571,"STS has a SAS TX 3 alarm
serial # 411-0261
STS-1A-1


site
Data Foundry
660 Greens Pkwy
Houston, TX",0,5004p00000DNogZAAT,"STS has a SAS TX 3 alarm serial # 411-0261 STS-1A-1 site Data Foundry 660 Greens Pkwy Houston, TX ",True
1572,"site had a power outage which put our unit into alarm and it switche sources.  They would like us to switch the source back.

site
Citigroup
931 Litsey Dr
Roanoke, TX",0,50046000007DF9yAAG,"site had a power outage which put our unit into alarm and it switche sources. They would like us to switch the source back. site Citigroup 931 Litsey Dr Roanoke, TX ",True
1573,"Troubleshoot problem ""SAS 2 in control"" and ëSAS 2 Fiber Rx 2 downî alarms on STS-1A.


site
GPX
Mumbai",0,5004p00000DggyQAAR,"Troubleshoot problem ""SAS 2 in control"" and ëSAS 2 Fiber Rx 2 downî alarms on STS-1A. site GPX Mumbai ",True
1574,"4 RPPs need to have the BCMS breaker settings programmed.
Then start up 4 different RPPs and set the breaker settings on those as well.

site
Refinitiv
587 JS McDonnell Blvd
Hazelwood, MO  63042",0,5004p00000DQ1LpAAL,"4 RPPs need to have the BCMS breaker settings programmed. Then start up 4 different RPPs and set the breaker settings on those as well. site Refinitiv 587 JS McDonnell Blvd Hazelwood, MO 63042 ",True
1575,"Heat Mitigation Kitñ 100% Rated Electronic Trip SQ D NETA Tested Breakers
Reference: MOD66276
**PDU Top Hat NOT Included**
Each Kit Includes:
- Side Car Vented Chassis
- PDU Vented Assemblies
- Lexan Barriers
- Access Panel
- Wires
QTY (6) Breakers Per Unit
Model Number: SQD JGL36250CU31X
PN: CKB15430T
Description:
SQD-JGL,3P,250AF,600V, LI, 100% rated
electronic trip breakers- NETA Tested             

site
Digital Realty - Suite 130
2440 Marsh Lane
Carrollton, TX",0,5004p00000DQ2m4AAD,"Heat Mitigation Kitñ 100% Rated Electronic Trip SQ D NETA Tested Breakers Reference: MOD66276 **PDU Top Hat NOT Included** Each Kit Includes: - Side Car Vented Chassis - PDU Vented Assemblies - Lexan Barriers - Access Panel - Wires QTY (6) Breakers Per Unit Model Number: SQD JGL36250CU31X PN: CKB15430T Description: SQD-JGL,3P,250AF,600V, LI, 100% rated electronic trip breakers- NETA Tested site Digital Realty - Suite 130 2440 Marsh Lane Carrollton, TX ",True
1576,"M4 to WS color touch screen upgrade. schedule below. 

7/23/2018	4:00 PM	C100 (Vacant Cage)	PDU A3 C100	110- 2004	WO3610946 
7/23/2018	7:00 PM	C100 (Vacant Cage)	PDU B3 C100	110- 2004	WO3610946 

7/24/2018	4:00 PM	C100 (Wyndham)	PDU A5 C100	110- 2002	WO3611119 
7/24/2018	8:00 PM	C100 (Wyndham)	PDU B5 C100	110- 2002	WO3611119 

7/25/2018	4:00 PM	C100 (AIS)	PDU A2 C100	110- 2004	WO3611132 
7/25/2018	8:00 PM	C100 (AIS)	PDU A4 C100	110- 2004	WO3611132 

7/26/2018	4:00 PM	S330 (Wyndham)	PDU C1300	110- 2002	WO3611133 
7/26/2018	8:00 PM	S330 (Wyndham)	PDU D1300	110- 2002	WO3611133 

7/27/2018	4:00 PM	C100 (AIS)	PDU B2 C100	110- 2004	WO3611132 
7/27/2018	8:00 PM	C100 (AIS)	PDU B4 C100	110- 2004	WO3611132 
End of Week 1	
7/30/2018	5:00 PM	C100 (DLR Colo)	PDU A1 C100	110- 2004	WO3611129 
7/30/2018	10:00 PM	S360 (Petsmart)	PDU E5300	110- 2003	WO3616447 

7/31/2018	5:00 PM	S340 (DLR Colo)	PDU ABQ300	110- 2002	WO3611137 
7/31/2018	10:00 PM	S360 (Petsmart)	PDU E6300	110- 2003	WO3616447 

8/1/2018	5:00 PM	C100 (DLR Colo)	PDU B1 C100	110- 2004	WO3611129 
8/1/2018	9:00 PM	S380 Cage 200 (NXP)	PDU A3 110-2248	WO3611141 

8/2/2018	5:00 PM	S340 (DLR Colo)	PDU E2300	110- 2002	WO3611137 
8/2/2018	9:00 PM	S380 Cage 200 (NXP)	PDU A3 110-2248	WO3611141",0,50046000007DCUsAAO,M4 to WS color touch screen upgrade. schedule below. 7/23/2018	4:00 PM	C100 (Vacant Cage)	PDU A3 C100	110- 2004	WO3610946 7/23/2018	7:00 PM	C100 (Vacant Cage)	PDU B3 C100	110- 2004	WO3610946 7/24/2018	4:00 PM	C100 (Wyndham)	PDU A5 C100	110- 2002	WO3611119 7/24/2018	8:00 PM	C100 (Wyndham)	PDU B5 C100	110- 2002	WO3611119 7/25/2018	4:00 PM	C100 (AIS)	PDU A2 C100	110- 2004	WO3611132 7/25/2018	8:00 PM	C100 (AIS)	PDU A4 C100	110- 2004	WO3611132 7/26/2018	4:00 PM	S330 (Wyndham)	PDU C1300	110- 2002	WO3611133 7/26/2018	8:00 PM	S330 (Wyndham)	PDU D1300	110- 2002	WO3611133 7/27/2018	4:00 PM	C100 (AIS)	PDU B2 C100	110- 2004	WO3611132 7/27/2018	8:00 PM	C100 (AIS)	PDU B4 C100	110- 2004	WO3611132 End of Week 1	 7/30/2018	5:00 PM	C100 (DLR Colo)	PDU A1 C100	110- 2004	WO3611129 7/30/2018	10:00 PM	S360 (Petsmart)	PDU E5300	110- 2003	WO3616447 7/31/2018	5:00 PM	S340 (DLR Colo)	PDU ABQ300	110- 2002	WO3611137 7/31/2018	10:00 PM	S360 (Petsmart)	PDU E6300	110- 2003	WO3616447 8/1/2018	5:00 PM	C100 (DLR Colo)	PDU B1 C100	110- 2004	WO3611129 8/1/2018	9:00 PM	S380 Cage 200 (NXP)	PDU A3 110-2248	WO3611141 8/2/2018	5:00 PM	S340 (DLR Colo)	PDU E2300	110- 2002	WO3611137 8/2/2018	9:00 PM	S380 Cage 200 (NXP)	PDU A3 110-2248	WO3611141 ,True
1577,"Hello all,

Just to update everyone on this thread.  We found the cause of the phase rotation issue.  That signal is driven from the input voltage sensing of the unit.  When I measured that voltage I found phase C was lower than normal.  Suspecting an issue with the fuse, I traced the signal back and noted some damage to the input voltage sensing wires of the PDU.  This would account for false indication of rotation.  Unfortunately we cannot fix the issue with the unit live.  The termination is directly in contact with the main breaker line side.  We will require a shut down of the PDU to resolve.  I have attached pics of the damaged wires.  The result of no fixing this issue immediately should be minor.  You will get input voltage alarms/rotation and possible frequency alarms.  The unit should provide power normally though.  We discussed onsite and there may be some loads that need switching.  I also told Kurino that we would bring a new board in case the repair requires that as well.

Please reach out to us for coordination once you establish a time to shut down PDUA08.  We will need several weekís notice to establish schedule.",0,5004p00000DecioAAB,"Hello all, Just to update everyone on this thread. We found the cause of the phase rotation issue. That signal is driven from the input voltage sensing of the unit. When I measured that voltage I found phase C was lower than normal. Suspecting an issue with the fuse, I traced the signal back and noted some damage to the input voltage sensing wires of the PDU. This would account for false indication of rotation. Unfortunately we cannot fix the issue with the unit live. The termination is directly in contact with the main breaker line side. We will require a shut down of the PDU to resolve. I have attached pics of the damaged wires. The result of no fixing this issue immediately should be minor. You will get input voltage alarms/rotation and possible frequency alarms. The unit should provide power normally though. We discussed onsite and there may be some loads that need switching. I also told Kurino that we would bring a new board in case the repair requires that as well. Please reach out to us for coordination once you establish a time to shut down PDUA08. We will need several weekís notice to establish schedule. ",True
1578,"during PM, site had a board failure on G2B.  
Alarm is SAS D SCR 1 Pulse off alarm.



site
Digital Realty (formerly Ascent)
suite 800
505 N. Railroad Rd
Northlake, IL  60164",0,5004p00000DOWkWAAX,"during PM, site had a board failure on G2B. Alarm is SAS D SCR 1 Pulse off alarm. site Digital Realty (formerly Ascent) suite 800 505 N. Railroad Rd Northlake, IL 60164 ",True
1579,"ï	MWH02.AZA.CE2.MZA.PDU01 TB1 Wire #62 Hot Spot.
ï	MWH02.AZA.CE2.MZA.PDU03-CB2 PHA Hot Spot.
ï	MWH02.AZB.CE4.MZA.PDU05 not reading current on PXM meter but is showing current on PDUM, both use same CT's.
ï	MWH02.AZD.CE1.MZA.PDU06 has PDU Ground Current High Alarm.",0,50046000007DFvEAAW,"ï	MWH02.AZA.CE2.MZA.PDU01 TB1 Wire #62 Hot Spot. ï	MWH02.AZA.CE2.MZA.PDU03-CB2 PHA Hot Spot. ï	MWH02.AZB.CE4.MZA.PDU05 not reading current on PXM meter but is showing current on PDUM, both use same CT's. ï	MWH02.AZD.CE1.MZA.PDU06 has PDU Ground Current High Alarm. ",True
1580,Site receiving UEZ file not found when trying to load web browser on RPP screen,0,5004p00000DPkxOAAT,Site receiving UEZ file not found when trying to load web browser on RPP screen ,True
1581,"The wrong CTs were put on the original order. The units were to be built with 400:5, but instead were built with 200:5",0,50046000007DGwXAAW,"The wrong CTs were put on the original order. The units were to be built with 400:5, but instead were built with 200:5 ",True
1582,Unit 411-0099-15 is constantly getting fiber alarms. the cables need to be replaced,0,50046000006azJVAAY,Unit 411-0099-15 is constantly getting fiber alarms. the cables need to be replaced ,True
1583,Surge cap blew on two units 442-0068,0,5004600000A0m2ZAAR,Surge cap blew on two units 442-0068 ,True
1584,Branch Circuit Alarm,0,50046000001FdBqAAK,Branch Circuit Alarm ,True
1585,"While performing UPS maintenance, we had to transfer downstream PDUs. When transferring STS-F2 (PDU-F2) to Source 2, we experienced an ìOutput Shortî alarm. The alarm cleared after being on Source 2 and we kept the unit on Source 2 to prevent the alarm from coming back in 
PS3B PDU-F2 442-0002-17B 

site 
Dell PS3B 
701 E Parmer Rd 
Austin, TX 

contact 
Lisa Barber 
512-723-6149",0,5004600000A0QA7AAN,"While performing UPS maintenance, we had to transfer downstream PDUs. When transferring STS-F2 (PDU-F2) to Source 2, we experienced an ìOutput Shortî alarm. The alarm cleared after being on Source 2 and we kept the unit on Source 2 to prevent the alarm from coming back in PS3B PDU-F2 442-0002-17B site Dell PS3B 701 E Parmer Rd Austin, TX contact Lisa Barber 512-723-6149 ",True
1586,"We had 16 STSs in stock and Critical Components cut us an order to buy them for QTS back in Dec 2018. 
The problem was QTS needed the opposite side cable entry, so now we had to build a sidecar/wireway to get the cables to the other side of the switch.

ste
QTS 
Lone Star - phase two 
Irving, TX",0,5004600000A0PEzAAN,"We had 16 STSs in stock and Critical Components cut us an order to buy them for QTS back in Dec 2018. The problem was QTS needed the opposite side cable entry, so now we had to build a sidecar/wireway to get the cables to the other side of the switch. ste QTS Lone Star - phase two Irving, TX ",True
1587,Remove CT's from PDUs and add to Mains in RPP's SN 180-2525 & 180-2535,0,50046000003o7trAAA,Remove CT's from PDUs and add to Mains in RPP's SN 180-2525 & 180-2535 ,True
1588,"install of SAS bracket fix


site
CyrusOne
229 West 7th St
Cincinnati, OH  45202",0,50046000007DCRkAAO,"install of SAS bracket fix site CyrusOne 229 West 7th St Cincinnati, OH 45202 ",True
1589,"issues:
1401   050709CP1 (Located in Loop 9 UPS Rm D)                  411-0148   SAS TX
1401   050902GP3 (Located in DH9)                                           442-0120  SAS TX


site
CyrusOne
5150 Westway Park Blvd
Houston, TX  77041",0,5004600000A0cpMAAR,"issues: 1401 050709CP1 (Located in Loop 9 UPS Rm D) 411-0148 SAS TX 1401 050902GP3 (Located in DH9) 442-0120 SAS TX site CyrusOne 5150 Westway Park Blvd Houston, TX 77041 ",True
1590,"SAS TX alarms

1402   051315AP2 (Located in DH13)                                         411-0192  SAS TX
1402   051315CP1 (Located in DH13)                                         411-0192   SAS TX



site
CyrusOne
5170 Westway Park Blvd
Houston, TX",0,5004600000A0cpbAAB,"SAS TX alarms 1402 051315AP2 (Located in DH13) 411-0192 SAS TX 1402 051315CP1 (Located in DH13) 411-0192 SAS TX site CyrusOne 5170 Westway Park Blvd Houston, TX ",True
1591,"inspect PDUs
Troubleshoot issue on PDU. Not able to see KW, load%, etc on B phase.  However, they can see it on A and C phases.  
350-0281
17 PDUs

site
Verizon
	
7400 World Communications Drive
Omaha, NE 68122",0,5004600000A0MNkAAN,"inspect PDUs Troubleshoot issue on PDU. Not able to see KW, load%, etc on B phase. However, they can see it on A and C phases. 350-0281 17 PDUs site Verizon 	 7400 World Communications Drive Omaha, NE 68122 ",True
1592,"upgrading JCOMM on two PDUs (not PDI equipment)

site
Aligned Data Ctr
2800 Summit Ave
Plano, TX",0,5004600000A0MNGAA3,"upgrading JCOMM on two PDUs (not PDI equipment) site Aligned Data Ctr 2800 Summit Ave Plano, TX ",True
1593,"repair SAS TX alarms on two STS
030709CP9 DH6; 031009CP8

Also, they have a fan that is not working and one that is making noise.  Need to troubleshoot and determine if we can clear the alarm or if the fan will need to be replaced.


site
CyrusOne
2501 S. State Highway Business Suite 500 (Bldg. #5
Lewisville, TX  75067",0,5004600000A0NhvAAF,"repair SAS TX alarms on two STS 030709CP9 DH6; 031009CP8 Also, they have a fan that is not working and one that is making noise. Need to troubleshoot and determine if we can clear the alarm or if the fan will need to be replaced. site CyrusOne 2501 S. State Highway Business Suite 500 (Bldg. #5 Lewisville, TX 75067 ",True
1594,"another vendor was doing RPP cabling and cut a wire, which caused the STS to drop load and cause numerous alarms
- overcurrent hold on S1
S1 Bad
S2 Input open

STS20134-413

site
CyrusOne
1649 W Frankford Rd
Carrollton, TX  75007",0,5004600000A0MCDAA3,"another vendor was doing RPP cabling and cut a wire, which caused the STS to drop load and cause numerous alarms - overcurrent hold on S1 S1 Bad S2 Input open STS20134-413 site CyrusOne 1649 W Frankford Rd Carrollton, TX 75007 ",True
1595,"SAS Tx alarm
411-0216-3          STS-W6-B1

site
CyrusOne
229  West 7th Street
Cincinnati, OH  45202",0,5004600000A0L0ZAAV,"SAS Tx alarm 411-0216-3 STS-W6-B1 site CyrusOne 229 West 7th Street Cincinnati, OH 45202 ",True
1596,"SAS TX 2 alarm on unit 7A4

site
JPMC
9000 Haggerty 
Belleville, MI",0,5004600000A0ihlAAB,"SAS TX 2 alarm on unit 7A4 site JPMC 9000 Haggerty Belleville, MI ",True
1597,"We also had over 950 incorrect breaker sizes in the setup (they all defaulted to 20 amps after the upgrade) that Oracle took care of in-house. In addition to attached, while Fidelis was onsite we identified incorrect percentages throughout multiple HMIs. I believe Todd (Fidelis) can give more technical descriptions and resolutions. The return trip will need to be on a Saturday, ideally 3/23.",0,5004600000A0Rt2AAF,"We also had over 950 incorrect breaker sizes in the setup (they all defaulted to 20 amps after the upgrade) that Oracle took care of in-house. In addition to attached, while Fidelis was onsite we identified incorrect percentages throughout multiple HMIs. I believe Todd (Fidelis) can give more technical descriptions and resolutions. The return trip will need to be on a Saturday, ideally 3/23. ",True
1598,"troubleshoot RPP and replace display as needed.  part is on site.
serial # 12017001-345

site
CyrusOne
7100 Metropolis Dr
Austin, TX  78744",0,50046000009zzsVAAQ,"troubleshoot RPP and replace display as needed. part is on site. serial # 12017001-345 site CyrusOne 7100 Metropolis Dr Austin, TX 78744 ",True
1599,"PDU metering good input and output voltage with multimeter. Reading low voltage on B phase on display 
T15-25-US-S-2235

site
CyrusOne
SAT 2.1
9554 Westover Hills Blvd
San Antonio, TX",0,50046000009zxbwAAA,"PDU metering good input and output voltage with multimeter. Reading low voltage on B phase on display T15-25-US-S-2235 site CyrusOne SAT 2.1 9554 Westover Hills Blvd San Antonio, TX ",True
1600,"Troubleshoot C2 output ams high alarm on M4 PDU, serial # 120-0109.  Have shipped a DCM board and  ASIM board for the repair.
Also, replace the EPO button on another unit.  part on site for that as well.

site
GigeNet
545 E. Algonquin Road
Arlington Heights, IL 60005",0,5004p00000DPYKvAAP,"Troubleshoot C2 output ams high alarm on M4 PDU, serial # 120-0109. Have shipped a DCM board and ASIM board for the repair. Also, replace the EPO button on another unit. part on site for that as well. site GigeNet 545 E. Algonquin Road Arlington Heights, IL 60005 ",True
1601,"CT's in the PDUs need to be calibrated

AP4-SN: T17-41-US-S-3896
DP5-SN: T17-45-US-S-3936
AP5-SN: T17-41-US-S-3887
DP4-SN: T17-45-US-S-3939
CP4-SN: T17-45-US-S-3933
DP6-SN: T17-41-US-S-3894
BP4-SN: T17-45-US-S-3940
CP6-SN: T17-41-US-S-3888
CP5-SN: T17-41-US-S-3890
BP6-SN: T17-41-US-S-3886
AP6-SN: T17-45-US-S-3938
BP5-SN: T17-45-US-S-3937

site
CyrusOne
7100 Metropolis Dr
Austin, TX",0,5004p00000DdyqVAAR,"CT's in the PDUs need to be calibrated AP4-SN: T17-41-US-S-3896 DP5-SN: T17-45-US-S-3936 AP5-SN: T17-41-US-S-3887 DP4-SN: T17-45-US-S-3939 CP4-SN: T17-45-US-S-3933 DP6-SN: T17-41-US-S-3894 BP4-SN: T17-45-US-S-3940 CP6-SN: T17-41-US-S-3888 CP5-SN: T17-41-US-S-3890 BP6-SN: T17-41-US-S-3886 AP6-SN: T17-45-US-S-3938 BP5-SN: T17-45-US-S-3937 site CyrusOne 7100 Metropolis Dr Austin, TX ",True
1602,"CT on BCMS has failed and needs a hot fix kit to correct the problem
Panel 1 circuit 37 indicates 110 amps


site
Tierpoint 
9333 W Grand Ave 
Franklin Park, IL",0,5004p00000DOpp3AAD,"CT on BCMS has failed and needs a hot fix kit to correct the problem Panel 1 circuit 37 indicates 110 amps site Tierpoint 9333 W Grand Ave Franklin Park, IL ",True
1603,Update software on PDUs 110-4427-1-8 from 1.008 to 1.009,0,5004600000A0HA0AAN,Update software on PDUs 110-4427-1-8 from 1.008 to 1.009 ,True
1604,"From Eric Bahm: 

We have a STS that has a 3 alarms ( SAS Tx1 Down, SAS Down, Switch State ) and isnít displaying the source path, We verified the load is still on the primary source. can you send someone out on 3/4/19 to troubleshoot.
Please let us know the tech name that will be on site, so we can get them set-up with security access.
Ticket ZEN#1307126 was created for this issue.

You can also reach us @ Ops Duty phone 480-414-0348

Model# STS_SBR_STD_2-480-600-60-1-WS-PM-1-BE
Serial# 411-0129",0,5004600000A0KO1AAN,"From Eric Bahm: We have a STS that has a 3 alarms ( SAS Tx1 Down, SAS Down, Switch State ) and isnít displaying the source path, We verified the load is still on the primary source. can you send someone out on 3/4/19 to troubleshoot. Please let us know the tech name that will be on site, so we can get them set-up with security access. Ticket ZEN#1307126 was created for this issue. You can also reach us @ Ops Duty phone 480-414-0348 Model# STS_SBR_STD_2-480-600-60-1-WS-PM-1-BE Serial# 411-0129 ",True
1605,"RPPís seem to be good on the calibration from PDI except for RPP3. We are getting strange readings that are not a possibility

RPP SN# 180-1811-3

Are there any other issues with the remaining 20 units?             - NO
When did they start seeing this issue?                                         - After 19 feb 2018. See attachment
What protocol are they using for remote communication?           - Modbus
Was this a issue that suddenly occurred? Or were there issues leading up to this that the client had been trying to resolve?         - Yes, this occurred after calibrating the RPP's
How long has the unit been being monitored remotely?               - From the installation date somewhere in 2013.",0,50046000003nz3jAAA,"RPPís seem to be good on the calibration from PDI except for RPP3. We are getting strange readings that are not a possibility RPP SN# 180-1811-3 Are there any other issues with the remaining 20 units? - NO When did they start seeing this issue? - After 19 feb 2018. See attachment What protocol are they using for remote communication? - Modbus Was this a issue that suddenly occurred? Or were there issues leading up to this that the client had been trying to resolve? - Yes, this occurred after calibrating the RPP's How long has the unit been being monitored remotely? - From the installation date somewhere in 2013. ",True
1606,PDU - 5 (Reference Picture PDU 5 Name Plate) Serial # 110-2542 Model # PP12- WS - 075 - G - 441 ETL No. = PDU - 120 - 5 - 0705 - 2144 - 13 Screen needs to be replaced,0,5004600000A0EMDAA3,PDU - 5 (Reference Picture PDU 5 Name Plate) Serial # 110-2542 Model # PP12- WS - 075 - G - 441 ETL No. = PDU - 120 - 5 - 0705 - 2144 - 13 Screen needs to be replaced ,True
1607,"Upgrade 4 PDUs with 

Removal: 
All sidecar components ñ Panels, brackets, wires etc. 
Install 
1 ñ BCMS Card with Subfeed software 
12 400A CTs ñ 3 for each breaker ñ ABC Phases 
CKB13943 - (4) 400A 100% Breakers - LGL36400CU31X 
Brackets, Bezels, Busbars for Neutral & G, Lugs, cable lading tray & 
all mounting hardware",0,5004600000A0ELZAA3,"Upgrade 4 PDUs with Removal: All sidecar components ñ Panels, brackets, wires etc. Install 1 ñ BCMS Card with Subfeed software 12 400A CTs ñ 3 for each breaker ñ ABC Phases CKB13943 - (4) 400A 100% Breakers - LGL36400CU31X Brackets, Bezels, Busbars for Neutral & G, Lugs, cable lading tray & all mounting hardware ",True
1608,Site is turning the unit off then back on,0,5004600000A0cJpAAJ,Site is turning the unit off then back on ,True
1609,"Issue: 
Output voltage 1 Phase A-B dropped to 118
Output voltage 1 Phase B-C dropped to 119
Output voltage 1 Phase C-A remained at 206

site
CyrusOne SAT 2.1
9554 Westover Hills 
San Antonio, TX  78251",0,5004600000A0Wi8AAF,"Issue: Output voltage 1 Phase A-B dropped to 118 Output voltage 1 Phase B-C dropped to 119 Output voltage 1 Phase C-A remained at 206 site CyrusOne SAT 2.1 9554 Westover Hills San Antonio, TX 78251 ",True
1610,SAS alarms on 3 units,0,5004600000A0Z61AAF,SAS alarms on 3 units ,True
1611,"SAS Tx alarm 442-0098-1

site
Data Foundry
4100 Smith School Rd
Austin, TX",0,5004600000A0YlpAAF,"SAS Tx alarm 442-0098-1 site Data Foundry 4100 Smith School Rd Austin, TX ",True
1612,"Troubleshoot the following:
PDU-1B-8, serial #110-4304-19
Displays amps on the breaker readouts, but not KW

PDU-1C-3, serial#110-4304-15
Displays amps on the breaker readouts, but not KW

PDU-1C-5, serial#110-4304-11
Not reading amps or KW on breaker 4 phases B&C.  looks to have the full load indicated on phase A

site
State Farm
1402 E. Lookout Drive
Richardson, TX  75082",0,5004600000A0V1mAAF,"Troubleshoot the following: PDU-1B-8, serial #110-4304-19 Displays amps on the breaker readouts, but not KW PDU-1C-3, serial#110-4304-15 Displays amps on the breaker readouts, but not KW PDU-1C-5, serial#110-4304-11 Not reading amps or KW on breaker 4 phases B&C. looks to have the full load indicated on phase A site State Farm 1402 E. Lookout Drive Richardson, TX 75082 ",True
1613,"input 1 on PDU CU37A tripped.  The feeder breaker remained closed but input 1 on the PDU tripped.  This resulted in an outage for all ìAî fed RPPís.  Input 1 has been reset and PDU CU37A is currently online.  All display screens and lights are OFF on the PDU.  I need to investigate why this PDU input tripped and what repairs may be needed.  

site
HSBC
475 Corporate Woods
Vernon Hills, IL",0,5004600000A0bwSAAR,"input 1 on PDU CU37A tripped. The feeder breaker remained closed but input 1 on the PDU tripped. This resulted in an outage for all ìAî fed RPPís. Input 1 has been reset and PDU CU37A is currently online. All display screens and lights are OFF on the PDU. I need to investigate why this PDU input tripped and what repairs may be needed. site HSBC 475 Corporate Woods Vernon Hills, IL ",True
1614,"""	PDU 48 (SN 451-0026): Intermittent alarm, SA & SB Volts High.
""	PDU 59: Need to disable the Analog Phase Alarm Monitoring.
""	PDU 60: Need to disable the Analog Phase Alarm Monitoring.



site
Wells Fargo
101 Leaf Lake
Birmingham, AL

contact 
Josh Cagle
205-943-6346
Jason Salvador",0,5004600000A0X2XAAV,"""	PDU 48 (SN 451-0026): Intermittent alarm, SA & SB Volts High. ""	PDU 59: Need to disable the Analog Phase Alarm Monitoring. ""	PDU 60: Need to disable the Analog Phase Alarm Monitoring. site Wells Fargo 101 Leaf Lake Birmingham, AL contact Josh Cagle 205-943-6346 Jason Salvador ",True
1615,"various SAS alarms
Isolation 1 MCSW open
Bypass 1 MCSW closed
Input 2 MCSW open
SAS D SCR 1 pulse off
SAS 1, 2 & 3 Timeout
SAS TX 1, 2 & 3 down
SAS Down
Switch State
summary

serial #452-0018


site
Westland Bunker
550 Club Drive
Montgomery, TX  75356",0,5004600000A0VKUAA3,"various SAS alarms Isolation 1 MCSW open Bypass 1 MCSW closed Input 2 MCSW open SAS D SCR 1 pulse off SAS 1, 2 & 3 Timeout SAS TX 1, 2 & 3 down SAS Down Switch State summary serial #452-0018 site Westland Bunker 550 Club Drive Montgomery, TX 75356 ",True
