,SerialNumber
1808,"Customer reporting issues with all RPPv2 units, reporting cables pressed against sheet metal and missing trim seal in the units. Customer reporting this is common across 4 data halls with 72 RPPv2 per DH. Actual number of units needing attention TBD. "
1809,"STSs for IBM project are built as 480V units. The actual system voltage at IBM is 415V. During the startup and commissioning the testing is being performed on temporary sources, and the system voltage was slightly under 400V. Because the control power is built for 480V input the resulting control power is too low and causing issues. Customer will need equipment modified to have 400V boards to correct the issue. "
1810,PDU-1B has a cut wire on CT. See picture attached. 
1811,Units Labeled incorrectly: the breakers are 65 KAIC rated but the STSís is marked 22 KAIC. 
1812,STS ñ Sub feed breakers are not displaying load at the HMI. 
1813,"STS-A1-3 - During burn in it was noted that one cable connected to line side of the Output isolation switch was 50 degrees hotter than the cable connected to the redundant isolation switch, further investigation revealed a loose connection at the SCR. "
1814,HMI is inoperative Recommendation: Troubleshoot and repair or replace 
1815,"shunt trip failed testing in the field. The shunt trip coil did not trip the breaker site Align Data Ctr Plano, TX "
1816,"Units are missing all of the breakers from the two RPPs. There are no line items to ship them loose. Also, customer thought they were getting 2 RPPs with (2) main breakers (2) panelboards, but one common lug that feeds the two mains. site Accupower Jamaica "
1817,Issue determined to be the Shunt Trip coil and Aux contact for breaker LGL36600U31X 
1818,"Scope: The cables on the main breakers have strands that are loose, and up around the threads of the set screw. Ferrules for the wire were ordered and need to be put on. They need 1MW of the load applied on Monday 11/12/2018 so they can test the UPS system - they have concerns about the wiring on the main breaker. - They want the ferrules installed after testing. They want to know if they could load the units just to get UPS testing done and what percentage load PDI would be comfortable at. Site: Holder Construction Group APL Data Center 3555 Grant Road. East Wenatchee, WA 98802 Contact: Brian Wehrhahn 908-399-6546 bwehrhahn@holder.com "
1819,"Cable marking tape colors do not meet Facebook Specifications. Used Brown, Orange, Yellow and Facebook requires Purple, Pink, Tan, and Gray with purple tracer for the equipment voltage of 400/230V. This would mean every subfeed breaker would need existing tape removed or covered and new marker with appropriate colors added. This amounts to at least 1152 conductors needing field marked. "
1820,Both RPPs have non-functional BCMS board that will not power up. 
1821,"Customer requires manual reset capability in PDU. PDI liternature shows this as a standard feature of PDUs, however Richmond provides this feature and SNA does not, unless it is specifically requested. Last units for this site were smaller PP units and had the feature, new units are 500KVA PH units and are missing the feature. Will require adding components and rewiring all 40 PDUs to accommodate requirement. "
1822,"Customer needs 600kcmil lugs on the subfeed breakers, and all 50 existing breakers have 500kcmil maximum lugs . PDI did not ship what was in the customer's submittal Please see attached submittal. ï	PDUís have top input busbars for landing incoming conductors, and it is shown in the submittal drawing as well as mentioned in PDU BOM. ï	Input conductors: up to 3x900MCM per phase, single bent ï	Output conductors: up to 2x700MCM per phase for 400A breakers site Align Data Ctr Plano, TX "
1823,"The hardware we just carried in is not right, and the hardware we sent already is also incorrect. The bolt needs to be 2.5"" long, because the panduit lug is thicker. We also did not provide any lock washers or belleville washers, so all they have are nuts and flat washers. They are landing cables tomorrow, so we need this resolved today and parts in their hands tomorrow morning first thing. "
1824,"bad reading on PCA32106 A51-0818 site Netrality 210 N Tucker St Louis, MO "
1825,Cut out allowing cable to go from PDU to STS does not have trim seal on cut edges. Cable is laying across cut metal. Hazard for cable 
1826,"All unit arrived without mac addresses. when i wentto testbay to get the mac addresses, it was discovered they were never assigned. I was able to get a list from test and give them to Tommy who inputted them manually in the field. "
1827,"One two of the units, the lug is installed on the ground bars, but the wire isn't in the unit. Also the wiring from the output breaker that feeds the I-Line panel seems to have been changed. the site is asking about a grounding cable that goes from one PDU to the Other. We used to have it crimped and coiled up and tie wrapped in the PDUís. So that customer could run cable between PDUís. We only have the crimp Lugs bolted on each ground plate in the two PDUís. The other question is only a for their knowledge from the STS to the sub feeds phase buses we have two conductors per phase. On previous STSís there was only one larger conductor per phase. serial # 452-0063-1-2 see picture site Wells Fargoi 101 Leaf Lake Birmingham, AL "
1828,"From Ernesto: One of the PDUs arrived with a damaged breaker cover access door, pictures attached. The electrical contractor took picture when the unit was delivered and put an exception on the shipping receipt. "
1829,"customer approved the submittal for all 14 PDUs to have the EPO button financial came in with a comment to remove the EPO button, so we built the units without them. Customer is insisting on getting what they approved and we will need to add them in the field. site DISA Columbus, OH "
1830,"incorrect knob according to the drawings (dated 9/14/17) . Need to swap all the Quick Connect Knobs in the field with the in field with the customers that received the Quick Connect TOB as the knob on the left poses great risk (knob on the right is correct) as It does not lock into place when engaged. site American Airlines HQ (Graybar) 13951 Trinity Blvd Fort Worth, TX 76155 "
1831,"CyrusOne received the reworked TOBs for Arvest site CyrusOne 2905 Diehl Rd Aurora, IL "
1832,"proposal to customer and the order forms called for SNMP to be added to the units. Customer received shipments and no SNMP had been installed. site Servercentral 2200 Busse Rd Elk Grove Village, IL 60007 "
1833,"600A sub feed breaker failed during testing PDU serial # T18-50-US-S-4669 site GE Integra Mission Critical (Urbacon) 1670 Triplet Blvd. Akron, OH 44306 "
1834,Infinity boards are rev B. New boards need to be ordered 
1835,Needs an RMA to return parts 
1836,wrong resistors installed on the output CT's. 8 Ohm resistors were installed on the output CT's. The BOM says .2 OHM resistors are to be installed. 
1837,"Customer needed 36"" floorstands - PDI order entry was for 32"" floorstands. Order form dated 5/8/18 states the following: Floorstand to have solid top with intergrated brush and adjustable above and below 36"" (for better stability of the PDU and its side car). Engineering to provide drawing. Then Coresite will decide if they need floorskirt for PDU or not. "
1838,No ETL labels in units 
1839,Brackets that are holding the CT strips are missing PEM nuts 
1840,Customer reporting that (5) Eaton Power Defense breakers have failed NETA testing due to breaker status light indicating internal failure. 
1841,"customer received 10 ohm resistors in the end feeds instead of .1 ohm resistors. site NiSource (NIPSCO) Merrillville, IN "
1842,interior cover bent 
1843,"incorrect knob according to the drawings (dated 9/14/17) . Need to swap all the Quick Connect Knobs in the field with the in field with the customers that received the Quick Connect TOB as the knob on the left poses great risk (knob on the right is correct) as It does not lock into place when engaged site AT&T 4100 Bryan Dallas, TX "
1844,"Customer reported missing the isolated ground from their end feed/starter rail. We shipped them the parts to repair the problem and what they received was a standoff insulator with terminal on it, no 54"" bus bar to add to the rail, and not connector between the standoff insulator and the busbar. Email with photo of what the received is attached with Sean Tinder's email. "
1845,"John Walker with Brasfield Gorrie reported STS units that were labeled at 22KAIC when the specifications require 65KAIC. This issue was previously corrected under case 18991. There were approximately 130 of the 1000A TFA STSs that shipped with incorrect labeling. Labels were printed for all units, and left with HITT Construction at Cyrus Kincora site. "
1846,Customer reported missing (6) side plates for couplers. Email from Sean Tinder is attached to case 
1847,Main breaker aux contacts - no signal at terminal block TB-15 aux contacts wired backwards 
1848,Upgrade on SO 30053 did not include big enough wire or the CTs needed to complete the upgrade causing us to expedite and overnight CTs as well as fly 3 technicians in to complete the job before the customer deadline. 
1849,"missing subfeed lugs on 32 PDUs. Lugs are missing on the line side and load side. Only the cables are there. We will need to terminate the lugs and cables. Total of 200 lugs will need to be added in the field. (Someone - not service signed a deviation form) site Stadion - Facebook Eagle Mountain, UT unit in Wisc until end of April "
1850,Wiring harness J9 wired incorrectly. Photos show where mating connectors have wires reversed from left to right. Photos attached. 
1851,"METERING ISSUES Prior to Kelly leaving he had been working on a repair on a pair of RPPs we have on site that are having current monitoring issues. Prior to Kelly leaving he was looking into a software version issue but nothing was conclusive. Can you direct me to whom will be following up on this repair, please? "
1852,"On the fifth JO# of SO#30675, loose lug connections were found in manufacturing. We will need to remove and inspect the lug connections on the breakers in first 40 PDUs that had already shipped prior to finding the issue. "
1853,"on all field terminations for ìCî phase, the spacing between the compression lugs and the unit bracing is about Ωî. NEC requires clearances of >1î. To mitigate this issue, we had field installed a piece of insulating mat around frame member that is in close proximity of ìCî phase. The second issue observed, ìAî phase of PDI provided DLO cables, between PDU and STS is located behind a structural metal member of the STS. All the terminations at the ìAî bus seem to be stressed (due to cables touching the metal part of STS frame). These observations are going on hour deficiency list and I was wandering if there is a way of correcting this issues for current and future units "
1854,"Customer reporting additional issues with all RPPv2 units, reporting ground wiring of units do not match submittal drawings. Customer reporting this is common across 4 data halls with 72 RPPv2 per DH. Actual number of units needing attention TBD. Photos attached to case. "
1855,"unit should have had an IR scan window 442-0215-1 order form and bill of materials was correct. we simply did not build correct. site Federal Reserve Bank of Dallas 2200 North Pearl St Dallas, TX 75201 "
1856,"Switch was set up for 415 outpu voltage . The PDUs were shipped ot at 208V. Customer wants 208V, so all of the switches will need to be changed. However, the order forms stated to set up the swithc as 480 and the PDU to 208. site CyrusOne 2300 Chelsea Blvd Allen TX 75013 "
1857,"order form called for 1.5' starter rail. production shipped 6' starter rails with a sticker stating the rails were 3' starter rails. All rails with thru 2 QC checks. The customer hung the rails, but did not notice an issue until they tried connecting the 12' rails and they had no room in the data hall. Service was notified by production that we had shipped 6ft starter rails instead of 3ft. After looking at the order form, did I find that they had ordered 1.5ft starter rails. site Crawford Electric c/o Data Bank 3255 Neil Armstrong Blvd Eagan, MN 55121 "
1858,"Customer has written up/rejected PDI MiniPDU due to incoming wiring of main breaker being Black, Red, White wires, and Facebook standard requires Brown, Orange, Yellow for all 480V wiring. PDI drawings show the coloring in an unconventional way: X BRW 001 (Wire Color BLK) Y ORG 002 (Wire Color RED) Z YEL 003 (Wire Color White) Based on the drawing, it appears the units were built properly, but customer has rejected the as built equipment. site Facebook (Raven Northbrook) Papillion, NE "
1859,email from customer: One of the boxes shipped had 3-pole 30A breakers (approximately 12). Was that a mistake? The other box had (10) left/10 right boxes. We did not receive any ribbon cables 
1860,Customer purchased IR Window option on incoming cable area of STS. Did not receive this option. Engineering will need to design new sheet metal with IR Window. 
1861,While installing infinity monitoring on two 2 PDUs we had an issue with two PCB56242 boards. the fuses fell right off. two new boards needed 
1862,"missing 270 bus bars from shipment BUS68931 ISO Ground Bus Bars site Microsoft (Turner) San Antonio, TX "
1863,"Two PDUs missing the rear access input bus assembly. - order entry error On site, service will need to connect compression lug on cables and crimp on our end. site Stream 9550 Westover Hills Blvd San Antonio, TX 78251 "
1864,Original panel holes were too big. new panels with smaller holes were ordered. 
1865,All units damaged in transit. most units have minor paint issues. one unit has a scratched lexan door cover. 
1866,800A endfeed caps sent instead of 250 
1867,"This PDU is humming at a significantly higher volume than any other energized PDUs. This PDU currently has no load. It was recently commissioned and the condition was not noted. Also, the spare breakers are currently alarming for being open. "
1868,"reported 26 issues at Stack Infastructure: 1. inaccurate readings for phase A 2. Metering Data for PDU-G3-3 is going to PQM associated with CB 'PDUG3- 1' on distribution panel 'UPS-DP-G3'. 3. On UPS-DP-G2; metering data for PDU-G2-3 is going to PQM for PDUG2- 1. 4. On UPS-DP-G3, monitoring for PDU-G3-2 is on the PQM for PDU-G3-3. 5. On UPS-DP-G3, monitoring for PDU-G3-1 is going to PQM for PDU-G3-2. 6. On UPS-DP-G2; metering data for PDU-G2-2 is going to PQM for PDUG2- 3. Additionally, PQM shows negative KW. See attached pictures. 7. During load test of PDU-G1-2, CxA noted that displayed currents (and therefore calculated KVA/KW) are inaccurate, reading much lower than actual current output. See datasheet for discrepancy. 8. During load bank testing, PDU CT metering noted to be inaccurate. Test sheet shows discrepancy. 9. UPS-DP-1; PQM for Feeder CB PDU-G1-1 has a failed PT connection for A phase, resulting in inaccurate readings for L-N & L-L voltage and power calculations. See attached pictures. 10. PDU-DA07 - Line CT for phase C subfeed 1 is labeled A. Line CT for phase A subfeed 2 is labeled C. 11. PDU-DA08 - Line side CT for A phase on subfeed 1 is labeled C. Line side CT for C phase on subfeed 1 is labeled B. Line side CT for B phase on subfeed 2 is labeled A. 12. PDU-BA06 - Phase C line CT of subfeed 1 is backwards. 13. PDU-BA06 - Line connections to phases B and C are not properly marked with torque seal. 14. PDU-BA05 - Line connections to phases B and C are not properly marked with torque seal. 15. PDU-BA04 - Line connections to phases B and C are not properly marked with torque seal. 16.PDU-AA08 - A and C phase wires are swapped. 17. PDU-AA09 - Subfeed 1 B phase CT is labeled C phase. Subfeed 2 A phase CT is labeled C. Subfeed 2 B phase CT is labeled A. 18. PDU-AA09 - Feeder breaker 1 is labeled LG 600 on the front of the breaker. On the right side of the breaker, it's labeled LG 400. 19. PDU-AA08 - A and B phase line CTs for subfeed 2 are 400:5 CT ratio. All other CTs are 250:5. 20. PDU-AA14 - B phase line CT for subfeed 2 is backwards. 21. This issue applies to all feeder breakers in all PDUs. Trip unit rating is 400A rather than 250A. Additionally, submittal calls for Micrologic 3.2SW model trip units; units actually installed are Micrologic 3-3S. 22. This issue applies to all PDUs. Main Breaker is a 500A frame model. 23. This issue applies to all feeder breakers in all PDUs. None of the feeder breakers has a device installed to facilitate LOTO. "
1869,"contractor noticed that the isolator on one of the STS's is cracked. see picture site CyrusOne 1649 W Frankford Rd Carrollton, TX "
1870,Insulated bus was damaged during contractor installation. the control box on the door is touching the busbar 
1871,"4 PDUs (2 different designs) were built incorrectly. The order forms (and drawings) do not match what was quoted (along with the drawing) and approved by the custoomer site Satellite Svs Lackland AFB - DISA San Antonio, TX "
1872,"130 couplers missing from order Site Microsoft Des Moines, IA "
1873,"hardware left off of order site CED c/o Stephenville City Electric 241 E Mason St Stephenville, TX 76401 "
1874,"Start up (8) PDUs , serial # T16-19-US-S-2754 T16-19-US-S-2756 T16-19-US-S-2755 T16-19-US-S-2759 T16-19-US-S-2758 T16-19-US-S-2761 T16-19-US-S-2757 T16-19-US-S-2760 site CyrusOne 5170 Westway Park Blvd Houston, TX "
1875,"StartUp on 14 units - 6 first visit and then 8 on a 2nd visit site: Toshiba 1960 Chcago Ave bldg. F Riverside, CA contact Dan Todd 714-292-1773 "
1876,Scope: (2) PDUs that the breaker tripped because the one from UPS to generator; need to log into the main board and download the history and also investigate the trip settings; we confirmed the W3 jumper was on and it was removed by the customer after the breaker tripped 
1877,"Start up (8) RPPs: 180-2351-1 180-2351-4 180-2351-10 180-2351-11 180-2351-14 180-2351-15 180-2351-17 180-2351-21 Site address: 7100 Metropolis Drive Austin, TX 78744 Contact: Tyrone Johnson 512-682-2203 (o) 512-674-1309 (c) "
1878,"Time: 10AM Scope: To perform SU on (16) RPPs; SNs are listed in chart below; SO25619 RPP19342-212, RPP19342-22, RPP19342-222, RPP19342-220, RPP19342-230, RPP19342-228, RPP19342-218, RPP19342-232, RPP19342-229, RPP19342-237, RPP19342-215, RPP19342-214, RPP19342-216, RPP19342-213, RPP19342-231, RPP19342-219 Site address: Cyrus One 21111 Ridgetop Circle Sterling, VA 20166 Contact: Greg Kruse 703-457-8988 (o) 214-918-1454 (m) "
1879,"SAS TX 2 down alarm serial # 411-0236-22 (PDU 292129AP3) site CyrusOne 11003 Corporate Dr Houston, TX "
1880,"start up 6 RPPs in zone 7 ONYPMG-1608-2367 ONYPMG-1608-2364 ONYPMG-1608-2365 ONYPMG-1608-2368 ONYPMG-1608-2371 ONYPMG-1608-2370 site Target 18195 Waco St Elk River, MN 55330 "
1881,"adjust breaker settings and update software on RPPs from your last visit site CyrusOne 11003 Corporate Center Dr Houston, TX 77041 "
1882,"unit C15 received a junction fuse is blown alarm. it came in and then went away. The unit is in normal operation. Troubleshoot the issue. site AT&T 11830 Webb Chapel Dallas, TX "
1883,"STS has a SAS TX alarm. Clip fibers and reseat site CyrusOne 2501 S. State Highway Business Suite 500 (Bldg. #5) Lewisviille, TX 75067 "
1884,Input breaker alarms occurring on multiple units. Needs to be investigated. PDU65-A SN#T09-36-US-S-0257 PDU56-B SN#T09-36-US-S-0249 PDU56-A SN#T09-36-US-S-0254 PDU64-A SN#T09-36-US-S-0252 PDU64-B SN#T09-36-US-S-0255 PDU46-A SN#T09-36-US-S-0253 PDU45-B SN#T09-36-US-S-0256 PDU45-A SN#T09-36-US-S-0251 PDU54-A SN#T09-36-US-S-0250 
1885,"STS TX alarms 10AP2 serial 411-0151-9 11AP2 serial 411-0128-4 11CP3 serial 411-0151-2 14DP1 serial 411-0192-17 15AP1 serial 411-0173-2 site CyrusOne bldg. 2 5170 Westway Park Blvd Houston, TX "
1886,"On Sunday 3/5, the customer has an issue with the unit gating on opposite source. The alarm came in and out a couple of times. The unit is in a normal state at this time. PDI was not notified until Wed 3/8 of the issue. 420-0022-4 ( B17 ) site AT&T 11830 Webb Chapel Rd Dallas, TX "
1887,"The STS secondary input breaker was found tripped and will need to be investigated. serial # 411-0247-3 site CyrusOne Bldg 1 9554 Westover Hills San Antonio, TX 78251 "
1888,"breaker, bus phase & ct upgrade on 12 PDUs. Install in each PDU: (1) LGP36400CU31X, 100% LSI (breaker has been NETA Tested) (3) Bus phases for each breaker (3) 400:5 CTs to tie back to BCMS Hardware site CyrusOne 1649 W Frankford Rd Carrollton, TX contact John Erickson 214-876-3350 Jarred Capp 214-679-0424 "
1889,"troubleshoot / repair SAS TX down alarm on STS 442-0093-2A (PDU A2/B2) site Digital Realty suite 110 900 Quality Way Richardson, TX "
1890,"troubleshoot S1 DC alarm on STS 442-0136-6 site Digital Realty suite 130 9333 Grand Ave Franklin Park, IL "
1891,Bad monitor - rebooting problem. Please advise immediate resolution. site Digital Realty 907 Security Row suite 160 Richardson TX 75081 
1892,"From: Sellons, Robert (SISC) Sent: Friday, October 07, 2016 8:05 AM To: Tharayaparambil, Ajith (SIRV) Cc: Chun, Helen (SISC) Subject: FW: Moore Tool Transformers Problems -------- INTERNAL -------- FYI From: Lou Imbimbo [mailto:LImbimbo@mooretool.com] Sent: Friday, October 07, 2016 7:59 AM To: Sellons, Robert (SISC) Cc: Chun, Helen (SISC) Subject: Moore Tool Transformers Problems Robert/Helen We just received 2 Transformers from PDI which are missing some parts (see att.) Moore Tool P.O. 50-07286 (9.5 KVA 3PH 50/60 HZ Transformer) (M-25613SE). Please send us the missing items (24 ea. Screws and 4 ea. Eyebolts). Note this is not the first time that these are missing. Also we have two more on Order (PO 50-06966). Please make sure they are shipped complete. Previously we received a Transformer without any Labels (ID and Taps labels). This Transformer has been in our Stock room for a while now. Moore Tool P.O. 50-02915 ( 15 KVA 3PH 50/60 HZ Isolation transformer) (M-26609SE) We are installing it on one of our machines and we need the labeling. Please send two sets of labels, one for Internal and one for External of the transformer. Also we have one more on Order (PO 50-06892). Please make sure it is shipped complete. Thank you very much for your understanding. Lucio Imbimbo Moore Tool Co. 800 Union Ave Bridgeport, Ct. 06607 (203)366-3224 ext.309 "
1893,lugs stripping on installation of PDI PowerHubs Additional information requested 
1894,"broken CT on the unit. The wires are hanging down. site Cyrus One 2501 S. State Highway 121 Business Suite 500 (Bldg. #5) Lewisviille, TX 75067 "
1895,"Scope: 1)	One time PM Only for 36 PDUs 2)	Installation - Replace M4 display and parts (labor only, customer already has parts on site) Units Covered: 36 Serial number: 110-0421 (QTY 26) 110-0220 (QTY 4) 110-0469 (QTY 2) 110-0453 (QTY 4) Site: CenturyLink 1400 Kifer Rd Sunnyvale, CA 94086 Contact: Leanne Cox Mobile: 408.839.8436 "
1896,Preventative Maintenance 
1897,"(6) retrofit side car upgrade serial # 350-0269 Retrofit 9® Deep Side-facing Right-Hand Sidecars for existing PDI PDUs onsite (SN 350-0269): Each Sidecar Includes: Qty (2) 400 Amp, Square-D, 3-Pole Output Subfeed Circuit Breakers, 400AF / 400AT, 65kAIC @ 240V, 80% rated for continuous load. Top cable exit. Site address: Verizon Wireless 7400 World Communications Drive Omaha, NE Contact: Mark Hayward 402-943-6912 "
1898,Bad HMI readings in PDU S/N T15-24-US-S-2204 Tech support is immediately needed to avoid shipment delay. 
1899,"High fan alarm on serial # 451-0013-13B (01D-245) site Citigroup 931 Litsey Rd Roanoke, TX "
1900,COM1 / COM 2 error and also could not able to integrate the PDU to the BMS 
1901,Pulse Board PCB is getting burned due to the heat generated at the high wattage resistors 
1902,Schneider Electric Power Monitor PM8000 display is not coming after applying the power. 
1903,"comm error has come in on one of the PDUs 110-4477 Site: 1401 Del Norte St. Denver, CO. 80221 Contact: Aaron File (303) 430-2136 (o) (303) 887-8037 (m) "
1904,"several items needed. parts were used for previous repairs. need to replace before start up in mid Jan MCM8364 - MCM board door latch for RPP (20) Door hinges site Target 18195 Waco St Elk River, MN 55330 contact Mike Froistad 763-440-9313 612-590-5528 "
1905,"customer dropped a load. unit tried to switch sources and the 2nd source was not available. Need to reset the monitor, but the customer does not want to try it themselves. suite 110 - 442-0073 site Softlayer (Digital) suite 110 4849 Alpha Rd Farmers Branch, TX "
1906,"displaying a rather high ground fault current (33 amps). His electrician checked and theres only a couple amps on the ground. He needs a service tech to come and check it out, itís still under warranty. "
1907,SCOPE: 2 RPPs needing ï	Document and record all breaker sizes in each section of each RPP ï	Program the RPP with as-built breaker sizes ï	Input breaker ampacity thresholds as directed by T-Mobile/SWSG ï	Confirm integration data communications with ALC 
1908,Sunday 4/10/2016 Suite 402 4 units Suite 403 4 units Suite 404 2 units Suite 414 2 units Total for today 12 Monday 4/11/2016 Suite 401 2 units Suite 407 2 units Suite 409 2 units Suite 418a 3 units Suite 418c 3 units Total for today 12 Tuesday 4/12/2016 Suite 406 2 units Suite 408 2 units Suite 410 2 units Suite 416 6 units Total for today 12 Wednesday 4/13/2016 Suite 411 10 units Suite 412 4 units Total for today 14 Total 50 units. 
1909,Breakers arrived on site without the shunt trips. The customer needs us to either ship shunt trips or breakers with shunt trips. Needs RMA to return the shunt-less breakers. 
1910,The breaker panels are not square in the equipment. With breakers installed the cover does not want to shut. This is because of the misalignment of the panel . See Pictures attached. 
1911,PM on 6 PDUs SN: 110-3804 
1912,Customer requested a SENIOR technician to site to address the issue of S1 not transferring to S2 & Vice Versa. 
1913,Qty (4) label pad (part # LAB10814) are not working. Quote need to be provided. 
1914,Screen has lines running through it. 
1915,Customer wants to know the compatibility of BCMS software 1.048 with Jcomm with display PCM 11556 - Wavestar monochrome display. 
1916,Requested one time PM - Full day labor 
1917,"Output branch circuit monitoring ñ On the front display for current readings, should it measure 2 amps of current on the display "
1918,"Original problem: cannot put into primary source. it trips. Update after Todd's visit: I was able to initially clear all alarms and when I attempted a transfer, It transferred, but then it seemed like the SCR's shorted. Current went way up (I saw over 1800amps at the display) they claim 4000 amps on their SCADA system. It gave me a transfer inhibit and wouldn't let me transfer back. The transformer on the output was screaming unitl It eventually tripped the main input breaker.(about 10 seconds) I shut the unit down and restarted it on source 2. The unit operated fine on Source 2, Source 1 is the issue. "
1919,Customer wants to know if it is possible to trip the unit when upstream power fails. 
1920,"Total neutral and ground current information freeze on the screen. Per Gordon, the problem is firmware 3.019; need to be upgraded to 13.020. "
1921,Customer needs to be able to install qty (36) TOBs in a busway run. Thirty is the maximum amount so a retrofit kit is necessary. Same solution was installed at the same customer site on DH1; know it is needed in DH2. 
1922,"Customer wants to change ""finger"" configuration in qty (2) IEC panelboards. Juan Soto told Eli he traveled to Hong Kong to perform this work some time ago. Customer wants to do the same in two more panelboards. Eli suggestion is to sell customer two new IEC panels, confirgure them in PDI, and ship them so customer can swap them. "
1923,"PM on (2) PDU, serial # 110-0861 Site: Kelley Real Estate / Edward Jones 1245 J J Kelley Memorial Drive St Louis, MO 63131 contact: Frank Gregory 314-965-6400 ext 3 "
1924,Carryout TOB rewiring activity on around 126 TOB's 
1925,Units 411-0103 -1-2 left off of current contract and 3 year renewal beginning in 2019. 
1926,"3.	(1) RPP bent front panel ñ As discussed, one of the RPPís has a bent front cover and graphics screen. It appears that this RPP was dropped. a.	Please provide a price to Inglett to replace the entire front panel, including the graphics screen and parts/smarts attached to this front panel. "
1927,6nos Tap Off Boxes got jammed inside the Busrail. Could not able to disengage the CAM knob and remove the TOB 
1928,"Being executing the first Busway installation, customer is making himself clear of the installation requirements "
1929,a) Metal rods of CAM mechanism scratching the cables during CAM turn ON and OFF. It is leading to short-circuit. Faced this issue with 2 TOBís. b)Approach and working on Ibus board is difficult since it is at back side of TOB. c)Heavy weight 
1930,"Has 8 runs blue all left hand, 8 runs red all right hand. Want 4 runs Blue Left, 4 Blue right, 4 Runs Red Left, 4 runs Red Right "
1931,STS Alarm 
1932,"Scope: PDU 6, screen went completely blank. There was no impact to customer load but they have no way to interface with PDU; SO26880; Monitor shipped to site for your use; No RMA needed; Board was purchased so they keep both; 442-0075-6b "
1934,"Time: 1pm Scope: Bus Plugs show default Amp of approx. 6500A, should state 0A PDUs show alarm for spare breakers that are currently open. Needs to be modified to show them as spare so they donít alarm SO22869 Site Address: Project Red 100 E. Tryon Rd Raleigh, NC 27712 Site Contact: Adrian Petite 336.669.2745 "
1935,Contractor has identified an RPPv2 where PDI has hardwired A phase to neutral and neutral to A phase of breaker. Photos attached. 
1936,"Holder is reporting a monitoring issue on one of the new PDUs. Asking for a Tech to come to site and assist with troubleshooting. Mentioned a CT issue, but at this time has not confirmed what that issue exactly was about. "
1937,(PDUs 1 - 32) - All Trendpoint Monitors require a firmware upgrade to provide new registers for a calculated value for transformer primary voltage. Trendpoint has developed a custom firmware upgrade specific to these units and PDI with Trendpoint assistance will need to install during startup/commissioning. 
1938,"PDU.4.2.1 INPUT CURRENT DISPLAY - Tried to calibrate the Input Current while at no-load, but the actual current for phase-B and phase-C is not changing when load is applied again. "
1939,NETA Testing agency has found (3) Siemens breakers with broken push to test mechanisms. Will need the following (3) CKB69584 (3) CKB69586 (3) CKB69551 (3) CKB69552 (6) CKB69585 
1940,Missing subfeed circuit breaker phase barriers from PDUs on EAG-2 (still at CEI in Wisconsin as of 9/13/2019). 
1941,"PDU.3.1.3 OUTPUT VOLTAGE DISPLAY ñ The Output Voltage display at the PDU for AN, BN, and CN is not going to 0. The main breaker is OFF. Tried to calibrate but wonít change. photos attached. "
1942,Small scratch/dent in AGG Reactor as a result of shipping damage. Unit still in packaging and corner has visible damage to packaging plastic wrap and cardboard. Photos attached to case. Will need gray touch up paint. PART# IND-1005532000-00-GY05 
1943,(PDUs 33 - 64) All Trendpoint Monitors require a firmware upgrade to provide new registers for a calculated value for transformer primary voltage. Trendpoint has developed a custom firmware upgrade specific to these units and PDI with Trendpoint assistance will need to install during startup/commissioning. Units currently in storage at CEI in Wisconsin (tentative install in January 2020) 
1944,"Customer is missing 400 BUS68931 ISO Ground Saddles for 600A couplers for COLO 4 & 5. Will need to ship the missing components under warranty. There may be more, customer indicates that is the initial quantity they need to continue working. "
1945,"During startup Technician noticed that SAS TX mounting bracket on an STS was loose, adhesive had not bonded, and also noted instances where the bracket was over tightened, deforming the fibers. Photos attached to case. "
1946,"During the Eaton trip unit changeout, contractors experienced problems removing the breaker mounting screws. They reported screws were stripped and would not come out. Further investigation has found that at least two PEM Nuts were not installed, and production had placed nuts on the back of the mounting pan in at least two cases. Also have found stainless steel screws were used that were excessively long and causing damage to the PEM nuts. Customer now requesting we inspect nearly 2900 mounting screws by hand for deficiencies. "
1947,"Switch has found (2) RPPs that have a broken panelboard interior. Video is attached to case, but panelboard assembly seems to be missing a fastener or has broken and can not be used. Panelboard interiors will need to be replaced. "
1948,WC-00041 RPP-SB-6B-2 Serial #ís Identical to RPP-SB-6A-1 
1949,"Scope: To perform standby labor; They are replacing two distribution panels to a new system. The distribution panels feed existing PDUs and although they are only transferring power to the panel, Verizon wants to have a PDI tech on standby just in case there are any issues. "
1950,RPP 180-0906-3 had comm loss 
1951,"RPP seems to have been damaged in transit. The customer's PO says this order is FOB destination which would make it a PDI issue. The sales order in M2M says FOB origin which would make it a Critical Conponents issue. serial # 189-0013-3 site QTS Irving, TX "
1952,Qty 2 3ft rail section missing one LH and one RH. 4 endcaps are also missing 
1953,Bus alignment issues between main breaker and PDU sections. 
1954,"Communication issue on bus has returned site North East GA Data Center 1315 Jesse Jewell Pkwy NE, Gainesville, GA 30501 "
1955,STS' needed grid connects installed so the site can communicate using TCP/IP 
